1336612747	601629423	IdWorkplace	259	NULL
1336612748	601629423	Version	2	1
1336612749	601629423	DateRegistration	30.06.2022 9:34:31	30.06.2022 9:34:31
1336612750	601629424	id	52598903	NULL
1336612751	601629424	id_zakazy_analisys	54363568	NULL
1336612752	601629424	barcode_container	NULL	NULL
1336612753	601629424	barcode_parent	52476692	NULL
1336612754	601629424	id_workplace	259	NULL
1336612755	601629424	volume	2	NULL
1336612756	601629424	IsGrafic	False	NULL
1336612757	601629425	id	52598904	NULL
1336612758	601629425	id_zakazy_analisys	54363569	NULL
1336612759	601629425	barcode_container	NULL	NULL
1336612760	601629425	barcode_parent	52476692	NULL
1336612761	601629425	id_workplace	259	NULL
1336612762	601629425	volume	2	NULL
1336612763	601629425	IsGrafic	False	NULL
1336612764	601629426	id	52598905	NULL
1336612765	601629426	id_zakazy_analisys	54363570	NULL
1336612766	601629426	barcode_container	NULL	NULL
1336612767	601629426	barcode_parent	52476692	NULL
1336612768	601629426	id_workplace	259	NULL
1336612769	601629426	volume	4	NULL
1336612770	601629426	IsGrafic	False	NULL
1336612771	601629427	id	52598906	NULL
1336612772	601629427	id_zakazy_analisys	54363571	NULL
1336612773	601629427	barcode_container	NULL	NULL
1336612774	601629427	barcode_parent	52476692	NULL
1336612775	601629427	id_workplace	259	NULL
1336612776	601629427	volume	2	NULL
1336612777	601629427	IsGrafic	False	NULL
